2026-03-13 13:51:28,049 | INFO | src.cv.detector | Initializing Construction Detector
2026-03-13 13:51:28,050 | INFO | src.cv.detector | Loading YOLO model from models/construction_detector/weights/best.pt
2026-03-13 13:51:28,085 | INFO | src.cv.detector | Running detection on image: test_image.jpg
2026-03-13 13:51:28,190 | INFO | src.cv.detector | Detection completed: {'Hardhat': 5, 'NO-Hardhat': 5, 'NO-Mask': 5, 'Safety Cone': 5}
2026-03-13 13:51:28,191 | INFO | src.llm.report_generator | Initializing Report Generator
2026-03-13 13:51:28,538 | INFO | src.llm.report_generator | LangGraph input node received detections
2026-03-13 13:51:28,540 | INFO | src.llm.report_generator | Prompt formatted for LLM
2026-03-13 13:51:28,540 | INFO | src.llm.report_generator | Sending prompt to LLM
2026-03-13 13:51:40,526 | INFO | src.llm.report_generator | LLM report generated
2026-03-13 13:51:40,527 | INFO | src.llm.report_generator | LangGraph workflow completed
